transition_id,source_family,event,gold_reference_evidence,identity_pair_valid,both_endpoints_native_qc_valid,q1_native_endpoint_valid,yang_instrument_domain_valid,yang_applicability,green_instrument_domain_valid,green_applicability,q1_eligible,technical_exclusion_reason
J134133.73+090356.7,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,
J134739.65+362240.0,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J135255.68+252859.6,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J140207.59+284859.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J150026.17+374732.4,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J151143.41+210104.0,Dong2025_SDSS_LAMOST,turn_on,GOLD_REFERENCE_EVIDENCE,False,True,False,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
J151219.33+293737.0,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J151804.33+364747.9,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J152904.77+024640.4,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J160157.53+490207.8,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1000+0354,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1003+0202,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1003+0458,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1009+3539,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1110+0804,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J1311+0705,Yang2025_turn_on,turn_on,GOLD_REFERENCE_EVIDENCE,False,True,False,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
J020649.48-041452.7,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,False,True,False,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
J075934.95+322143.3,Zeltyn2024_SDSSV,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J080133.29+341737.6,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J080711.72+194439.7,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J083716.47+035606.1,Zeltyn2024_SDSSV,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J085512.13+032950.6,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J092313.53+043445.0,Zeltyn2024_SDSSV,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J121618.00+515946.1,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J135750.26+614309.0,Zeltyn2024_SDSSV,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,
J140515.59+542458.0,Zeltyn2024_SDSSV,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J221026.83-001721.1,Zeltyn2024_SDSSV,turn_on,GOLD_REFERENCE_EVIDENCE,False,True,False,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
