object,publication,source_family,discovery_method,physical_event,evidence_summary,bright_endpoint,faint_endpoint,survey_instrument,immutable_identifiers,exact_endpoints,publicly_retrievable,hbeta_coverage,native_quality_feasibility,proposed_reference_tier,q1_eligible,exclusion_reason,approximate_acquisition_size
SDSSJ153355.99+011029.7,Yang+2018,Yang2018,SDSS repeat-spectrum visual search,turn_on,"intermediate type 1.9 to 1.5 with broad-Hbeta enhancement and modest coordinated brightening",MJD54561,MJD51989,SDSS/BOSS,"2954-54561-0045;363-51989-0575",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Not a clean absent-to-present transition",~0.4 MB pair
SDSSJ020514.77-045639.74,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"published repeat spectra show credible broad-Hbeta weakening; no independent strong multiline disappearance narrative",MJD55944,MJD57723,BOSS/eBOSS,"4393-55944-0358;9327-57723-0246",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Green threshold output not used for tier",~0.45 MB pair
SDSSJ021259.59-003029.43,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"strong broad-line profile change with double-peaked higher Balmer structure; disappearance is not unequivocally documented",MJD51816,MJD56979,SDSS/eBOSS,"405-51816-0189;7834-56979-0188",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Complex profile rather than clean disappearance",~0.45 MB pair
SDSSJ024508.67+003710.68,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"credible broad-Hbeta change but only modest continuum/color change",MJD51871,MJD58081,SDSS/eBOSS,"409-51871-0345;9380-58081-0482",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Continuum corroboration is modest",~0.45 MB pair
SDSSJ024932.01+002248.35,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"primary decomposition shows broad Hbeta strong in bright state and weak but still visible in dim state",MJD52175,MJD58081,SDSS/eBOSS,"708-52175-0357;9380-58081-0294",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Broad Hbeta persists in dim state",~0.45 MB pair
SDSSJ113706.93+481943.68,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"credible broad-Hbeta change with modest continuum-color change",MJD53054,MJD57162,SDSS/BOSS,"1444-53054-0321;7399-57162-0932",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"No strong independent multiline disappearance narrative",~0.4 MB pair
SDSSJ135415.54+515925.77,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"extreme blue spectral/photometric change with complex double-peaked higher Balmer lines",MJD52465,MJD57427,SDSS/eBOSS,"1043-52465-0089;8209-57427-0934",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Complex profile; clean disappearance not established",~0.45 MB pair
SDSSJ163620.38+475838.36,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"credible Hbeta transition while broad Halpha remains present in the dim endpoint",MJD52144,MJD58257,SDSS/eBOSS,"627-52144-0596;8541-58257-0749",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Persistent broad Halpha",~0.45 MB pair
SDSSJ231625.39-002225.50,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"credible broad-Hbeta change but only modest continuum-color behavior",MJD51816,MJD58013,SDSS/eBOSS,"382-51816-0190;9154-58013-0858",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Continuum corroboration is modest",~0.45 MB pair
SDSSJ022652.24-003916.5,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_off,"continuum dims strongly but published BEL disappearance is <2 sigma and intermediate spectra complicate the endpoint",MJD52641,MJD56577,SDSS/BOSS,"1071-52641-0281;6780-56577-0339",YES,YES,YES,LOW_SN_REPORTED,BORDERLINE,NO,"Published evidence is explicitly marginal",~0.4 MB pair
SDSSJ132457.29+480241.2,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_off,"reported complete broad-Hbeta loss but the selected BOSS spectrum is unrecoverable redward of Hbeta because of extraction failure",MJD52759,MJD56805,SDSS/BOSS,"1282-52759-0045;7406-56805-0527",YES,YES,FORMAL_COVERAGE_PRODUCT_INVALID,NATIVE_EXTRACTION_FAILURE,SILVER,NO,"Exact faint endpoint fails native-quality feasibility; later APO spectrum is not a substitute",~0.4 MB pair
SDSSJ111829.64+320359.9,Yang+2018,Yang2018,SDSS repeat-spectrum visual search,turn_off_candidate,"paper reports >5-sigma broad Hbeta in both endpoints despite a large flux change",MJD53431,MJD56367,SDSS/BOSS,"1979-53431-0359;6438-56367-0660",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,BORDERLINE,NO,"Broad Hbeta remains securely detected in both states",~0.4 MB pair
SDSSJ100302.62+193251.28,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_on,"continuum and broad Hbeta strengthen, but broad emission is present in both endpoints and the paper flags a possible calibration issue",MJD57817,MJD53762,SDSS/eBOSS,"9578-57817-0290;2371-53762-0620",YES,YES,YES,CALIBRATION_CONCERN_REPORTED,BORDERLINE,NO,"Broad line in both states; possible calibration issue",~0.45 MB pair
SDSSJ113651.66+445016.48,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_on,"continuum and broad Hbeta strengthen but the faint endpoint retains broad-line character",MJD57732,MJD53083,SDSS/eBOSS,"8362-57732-0918;1367-53083-0379",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,BORDERLINE,NO,"Broad line in both states",~0.45 MB pair
SDSSJ234623.42+010918.11,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_on,"strong photometric brightening and Hbeta enhancement, but broad emission remains in both states",MJD57684,MJD52524,SDSS/eBOSS,"9199-57684-0563;683-52524-0457",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,BORDERLINE,NO,"Broad line in both states",~0.45 MB pair
SDSSJ224113.54-012108.84,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_on,"broad Hbeta narrows/strengthens less dramatically than other cases; selected bright endpoint is MMT",MJD58367,MJD55824,BOSS+MMT,"faint=4381-55824-0952;bright MMT source record not public",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,BORDERLINE,NO,"Exact selected bright endpoint is not publicly retrievable",unknown; public faint ~0.2 MB
SDSSJ105513.88+242553.69,MacLeod+2019;Green+2022,MacLeod2019,photometric selection plus follow-up spectroscopy,turn_off,"all broad Balmer lines weaken/narrow and continuum dims strongly",original follow-up epoch,original SDSS epoch,SDSS+private follow-up,"later Green pair 2357-53793-0128;10467-58138-0724 is not the discovery endpoint",NO,NO,YES,ORIGINAL_FAINT_ENDPOINT_NOT_PUBLIC,GOLD,NO,"Later eBOSS spectrum is a prohibited convenient substitute",unknown
SDSSJ111329.68+531338.78,MacLeod+2019;Green+2022,MacLeod2019,photometric selection plus follow-up spectroscopy,turn_off,"credible broad-Hbeta transition and continuum evolution",original follow-up epoch,original SDSS epoch,SDSS+private follow-up,"later Green pair 1012-52649-0216;8165-57374-0942 is not the discovery endpoint",NO,NO,YES,ORIGINAL_FAINT_ENDPOINT_NOT_PUBLIC,SILVER,NO,"Later eBOSS spectrum is a prohibited substitute",unknown
SDSSJ143455.30+572345.10,MacLeod+2019;Green+2022,MacLeod2019,photometric selection plus WHT spectroscopy,turn_off,"all broad Balmer lines weaken/narrow with strong long-term dimming",WHT faint discovery endpoint,SDSS bright endpoint,SDSS+WHT,"SDSS=790-52346-0155; later eBOSS=8398-57870-0908 is not the discovery endpoint",NO,NO,YES,ORIGINAL_WHT_ENDPOINT_NOT_PUBLIC,GOLD,NO,"Later eBOSS spectrum is a prohibited convenient substitute",unknown
SDSSJ083132.25+364617.2,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 2 to type 1 with Halpha/Hbeta emergence and coordinated continuum/MIR brightening",MJD57367,MJD52312,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,GOLD,NO,"Exact LAMOST product identity must be recovered before eligibility",~0.2-0.6 MB if identified
SDSSJ084957.78+274728.9,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_off,"type 1 to type 2 with broad-Balmer disappearance and continuum/MIR dimming",MJD53350,MJD56628,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,GOLD,NO,"Exact LAMOST product identity must be recovered before eligibility",~0.2-0.6 MB if identified
SDSSJ090932.02+474730.6,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 1.9 to type 1 with broad-line and continuum enhancement",MJD57745,MJD52620,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,SILVER,NO,"Intermediate faint state and unresolved LAMOST identity",~0.2-0.6 MB if identified
SDSSJ093730.32+260232.1,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 1.9 to type 1 with broad-line and continuum enhancement",MJD57369,MJD54524,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,SILVER,NO,"Intermediate faint state and unresolved LAMOST identity",~0.2-0.6 MB if identified
SDSSJ100323.47+352503.8,Yang+2018,Yang2018,photometric selection plus Xinglong follow-up,turn_on,"type 2 to type 1 with multiline broad-Balmer and continuum emergence",MJD57867,MJD53389,SDSS+XLT,"XLT follow-up has no public immutable source product",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,GOLD,NO,"Exact Xinglong endpoint is not publicly retrievable",unknown
SDSSJ110455.17+011856.6,Yang+2018,Yang2018,photometric selection plus Xinglong follow-up,turn_off,"type 1 to type 2 with broad-line and continuum loss",MJD52374,MJD57867,SDSS+XLT,"XLT follow-up has no public immutable source product",YES,NO,YES,FAINT_ENDPOINT_NOT_PUBLIC,GOLD,NO,"Exact Xinglong endpoint is not publicly retrievable",unknown
SDSSJ111025.44-000334.0,Yang+2018,Yang2018,photometric selection plus Xinglong follow-up,turn_on,"type 2 to type 1 with broad-line emergence and coordinated brightening",MJD57864,MJD51984,SDSS+XLT,"XLT follow-up has no public immutable source product",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,GOLD,NO,"Exact Xinglong endpoint is not publicly retrievable",unknown
SDSSJ111536.57+054449.7,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 2 to type 1 with broad-line emergence and rapid optical/MIR brightening",MJD57393,MJD52326,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,GOLD,NO,"Exact LAMOST product identity must be recovered before eligibility",~0.2-0.6 MB if identified
SDSSJ113229.14+035729.0,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 1.9 to type 1 with broad-line enhancement",MJD57392,MJD52642,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,SILVER,NO,"Intermediate faint state and unresolved LAMOST identity",~0.2-0.6 MB if identified
SDSSJ115227.48+320959.4,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_off_candidate,"broad Hbeta remains >5 sigma in both states despite large fitted flux change",MJD53446,MJD57844,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,BORDERLINE,NO,"Broad Hbeta remains present and LAMOST identity is unresolved",~0.2-0.6 MB if identified
SDSSJ125916.74+551507.2,Yang+2018,Yang2018,photometric selection plus Xinglong/Palomar follow-up,turn_on,"type 1.9 to type 1 with broad-line enhancement",MJD57863,MJD52707,SDSS+XLT/DBSP,"follow-up source products are not in a reproducible public archive",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,SILVER,NO,"Exact follow-up endpoint is not publicly retrievable",unknown
SDSSJ131930.75+675355.4,Yang+2018,Yang2018,photometric selection plus Xinglong follow-up,turn_on,"type 1.9 to type 1 with broad-line and continuum enhancement",MJD57867,MJD51988,SDSS+XLT,"XLT follow-up has no public immutable source product",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,SILVER,NO,"Exact Xinglong endpoint is not publicly retrievable",unknown
SDSSJ144754.23+283324.1,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 1.9 to type 1 with broad-line enhancement",MJD57071,MJD53764,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,SILVER,NO,"Intermediate faint state and unresolved LAMOST identity",~0.2-0.6 MB if identified
SDSSJ154529.64+251127.9,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on,"type 1.9 to type 1 with broad-line enhancement",MJD57891,MJD53846,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,SILVER,NO,"Intermediate faint state and unresolved LAMOST identity",~0.2-0.6 MB if identified
SDSSJ155017.24+413902.2,Yang+2018,Yang2018,photometric selection plus Xinglong follow-up,turn_on,"type 1.9 to type 1 with broad-line and continuum enhancement",MJD57864,MJD52468,SDSS+XLT,"XLT follow-up has no public immutable source product",YES,NO,YES,BRIGHT_ENDPOINT_NOT_PUBLIC,SILVER,NO,"Exact Xinglong endpoint is not publicly retrievable",unknown
SDSSJ155258.30+273728.4,Yang+2018,Yang2018,photometric selection plus LAMOST spectroscopy,turn_on_candidate,"broad Hbeta remains below 1 sigma in both states despite other reported changes",MJD56722,MJD53498,SDSS+LAMOST,"paper gives coordinates/MJDs but no immutable LAMOST planid-spid-fiberid",NO,NOT_REPRODUCIBLY_IDENTIFIED,YES,LAMOST_RECORD_ID_UNRESOLVED,BORDERLINE,NO,"No convincing broad-Hbeta appearance and LAMOST identity unresolved",~0.2-0.6 MB if identified
