source_family,primary_publication,publication_year,initial_classification,final_audit_state,reason,prospective_gold_morphology_screen,additional_exact_gold_unique,additional_exact_silver,duplicate_gold_events,unrecoverable_gold_endpoints,out_of_domain_records,primary_provenance
Hon2020_MaNGA,Hon et al. 2020,2020,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"Four reported transitions; the paper-specific 1D MaNGA nuclear extractions and variance are not immutable deposited products for the frozen pipeline",1,0,0,0,1,0,https://doi.org/10.1093/mnras/staa1939
Zeltyn2024_SDSSV,Zeltyn et al. 2024,2024,UNSCREENED_RELEVANT,SCREENED_D092_ADDITIONAL_GOLD,"Final visual CL labels and published endpoint figure sets; conservative H-beta-domain morphology adjudication; DR19 identifiers resolved for the acquisition subset",13,11,74,0,2,0,https://arxiv.org/abs/2401.01933
Wang2024_ZTF,Wang et al. 2024,2024,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"New confirmation spectra are targeted observations without a complete immutable public endpoint pair set; literature overlaps deduplicated",0,0,0,0,0,0,https://doi.org/10.1093/mnrasl/slae052
Zhu2024_four,Zhu et al. 2024,2024,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"LJT/TNS follow-up products are not a reproducibly retrievable exact historical pair in the frozen pipeline",0,0,0,0,0,0,https://doi.org/10.1093/mnras/stae1087
Amrutha2024_6dFGS_ATLAS,Amrutha et al. 2024,2024,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"6dFGS plus targeted WiFeS confirmation does not provide a complete immutable public endpoint pair set",0,0,0,0,0,0,https://doi.org/10.1093/mnras/stae2426
Yang2025_turn_on,Yang et al. 2025,2025,UNSCREENED_RELEVANT,SCREENED_D092_ADDITIONAL_GOLD,"Spectroscopically confirmed turn-ons with optical/MIR coherence; exact SDSS-to-LAMOST/DESI endpoints resolved for six non-duplicate events",11,6,0,2,3,0,https://arxiv.org/abs/2408.16183
Dong2025_SDSS_LAMOST,Dong et al. 2025,2025,UNSCREENED_RELEVANT,SCREENED_D092_ADDITIONAL_GOLD,"Automatic fitting followed by detailed visual inspection; H-beta appearance/disappearance plus broad-Halpha or significant photometric corroboration",39,37,0,0,2,0,https://arxiv.org/abs/2408.07335
Dong2026_SDSS_LAMOST_DESI,Chen et al. 2026,2026,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"Forty new reports, but a complete machine-readable exact endpoint table and public DR12 product resolution were not available at the cutoff",0,0,0,0,0,0,https://arxiv.org/abs/2605.24429
Yang2022_SDSSV_early,Yang et al. 2022,2022,DUPLICATIVE,DEDUPLICATED,"Early SDSS-V subset is included in the Zeltyn 2024 physical-event catalogue",0,0,0,0,0,0,https://arxiv.org/abs/2207.01219
Zeltyn2022_repeating,Zeltyn et al. 2022,2022,DUPLICATIVE,DEDUPLICATED,"Repeated states of objects represented in Zeltyn 2024; not new independent transitions for this audit",0,0,0,0,0,0,https://arxiv.org/abs/2206.06161
Zeltyn2025_hosts,Zeltyn et al. 2025,2025,DUPLICATIVE,DEDUPLICATED,"Host-property analysis reuses the SDSS-V CLAGN sample and adds no new discovery endpoints",0,0,0,0,0,0,https://arxiv.org/abs/2511.07532
Dong2026_repeating,Dong et al. 2026,2026,DUPLICATIVE,DEDUPLICATED,"Repeat-state analysis does not create additional independent object-level Q1 units",0,0,0,0,0,0,https://arxiv.org/abs/2510.18445
CamusPanda2026_compilation,Camus and Panda 2026,2026,DUPLICATIVE,DEDUPLICATED,"Compilation aggregates literature objects and supplies no new historical endpoint observations",0,0,0,0,0,0,https://arxiv.org/abs/2607.25839
Frederick2019_LINER,Frederick et al. 2019,2019,OUT_OF_Q1_DOMAIN,EXCLUDED_DOMAIN,"Changing-look LINER/transient family is not the frozen broad-Hbeta type-1/type-2 CLAGN reference domain and has ambiguous flare physics",0,0,0,0,0,6,https://arxiv.org/abs/1904.10973
GuoDESI2025_DR1,Guo et al. 2025,2025,OUT_OF_Q1_DOMAIN,EXCLUDED_DOMAIN,"The Guo classifier/source family is under test; using its labels as truth would be circular rather than independent reference adjudication",0,0,0,0,0,561,https://arxiv.org/abs/2408.00402
Chen2026_high_z,Chen et al. 2026,2026,OUT_OF_Q1_DOMAIN,EXCLUDED_DOMAIN,"The z>0.9 high-ionization-line sample lacks observed optical H-beta coverage required by frozen Q1",0,0,0,0,0,97,https://doi.org/10.3847/1538-4365/ae23cb
Panda2024_homogeneous93,Panda et al. 2024,2024,OUT_OF_Q1_DOMAIN,EXCLUDED_DOMAIN,"The homogeneous sample explicitly retains broad H-beta in both epochs and therefore does not meet the frozen appearance/disappearance GOLD event domain",0,0,0,0,0,93,https://arxiv.org/abs/2402.10958
